year,jurisdiction,name,type
2006,China,,initiative
2008,China,,initiative
2010,China,,initiative
2011,China,,initiative
2013,China,,initiative
2015,China,Made in China 2025,strategic initiative
2015,China,Made in China 2025,strategic initiative
2015,China,Made in China 2025,strategic initiative
2016,China,,initiative
2017,China,,initiative
2018,China,,initiative
2018,China,,initiative
2020,China,,initiative
2021,China,,initiative
2023,China,,initiative
2024,China,,initiative
2025,China,,initiative
2014,EU,SPARC Robotics PPP,program
2017,EU,Civil Law Rules on Robotics Resolution,resolution
2019,EU,AI & Robotics Industrial Policy Resolution,resolution
2020,EU,Ethical Framework for AI/Robotics Resolution,resolution
2021,EU,AI Act (proposed),regulation
2023,EU,Machinery Regulation,regulation
2024,EU,AI Act (adopted),regulation
2011,US,National Robotics Initiative,program
2017,US,NRI 2.0,program
2022,US,CHIPS and Science Act,legislation
2023,US,Executive Order 14110 on AI,executive action
